espn_id,display_name,position,draft_year,draft_round,draft_pick,nfl_value,years_played,total_games,total_pass_yards,total_pass_tds,total_rush_yards,total_rush_tds,total_rec_yards,total_rec_tds,total_receptions,total_tackles,total_sacks,total_interceptions
4429202,Israel Abanikanda,RB,2023,5,143,Failed,1,6,0,0,70,0,43,0,7,0,0.0,0
4427563,Micah Abraham,DB,2024,6,201,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
3728305,Johnathan Abram,DB,2019,1,27,Long_Term_Success,6,52,0,0,0,0,0,0,0,178,0.0,5
4429193,Kris Abrams-Draine,CB,2024,5,145,Failed,1,5,0,0,0,0,0,0,0,6,0.0,1
3126179,Matthew Adams,OLB,2018,7,221,Long_Term_Success,7,60,0,0,0,0,0,0,0,56,0.0,0
3912028,Nasir Adderley,FS,2019,2,60,Long_Term_Success,4,47,0,0,0,0,0,0,0,155,0.5,3
4427635,Adetomiwa Adebawore,DT,2023,4,110,Failed,2,12,0,0,0,0,0,0,0,8,2.5,0
4242547,Paulson Adebo,CB,2021,3,76,Long_Term_Success,4,51,0,0,0,0,0,0,0,190,0.0,10
4035566,McTelvin Agim,DT,2020,3,95,Failed,3,11,0,0,0,0,0,0,0,4,1.5,0
4360438,Brandon Aiyuk,WR,2020,1,25,Long_Term_Success,5,78,0,0,117,2,4698,26,318,7,0.0,0
4240021,Cam Akers,RB,2020,2,52,Long_Term_Success,5,57,0,0,2457,15,515,4,63,1,0.0,0
3128452,Jordan Akins,TE,2018,3,98,Long_Term_Success,7,100,0,0,7,0,2285,10,208,3,0.0,0
3871875,Adonis Alexander,DB,2018,6,1,Failed,1,5,0,0,0,0,0,0,0,4,0.0,0
3895429,Jaire Alexander,CB,2018,1,18,Long_Term_Success,7,81,0,0,0,0,0,0,0,249,1.5,15
4690013,Rasheen Ali,RB,2024,5,165,Failed,1,5,0,0,31,0,0,0,0,0,0.0,0
4427834,Erick All,TE,2024,4,115,Failed,1,8,0,0,0,0,158,0,20,0,0.0,0
3115922,Nick Allegretti,G,2019,7,216,Long_Term_Success,4,13,0,0,0,0,1,1,1,0,0.0,0
4685247,Braelon Allen,RB,2024,4,134,Made_Roster,1,17,0,0,334,2,148,1,19,1,0.0,0
3139453,Dakota Allen,LB,2019,7,251,Made_Roster,3,16,0,0,0,0,0,0,0,17,0.0,0
4426553,Davis Allen,TE,2023,5,175,Made_Roster,2,16,0,0,0,0,175,2,19,3,0.0,0
3918298,Josh Allen,QB,2018,1,7,Long_Term_Success,7,123,29793,220,4810,72,35,3,2,9,0.0,0
3116149,Marcus Allen,LB,2018,5,148,Long_Term_Success,4,29,0,0,4,0,0,0,0,30,0.0,0
3915282,Zach Allen,DE,2019,3,65,Long_Term_Success,6,76,0,0,0,0,0,0,0,118,26.0,1
4373626,Tyler Allgeier,RB,2022,5,151,Short_Term_Success,3,50,0,0,2362,10,420,2,47,6,0.0,0
4683487,Joe Alt,OT,2024,1,5,Failed,1,6,0,0,0,0,0,0,0,0,0.0,0
3886834,Ugo Amadi,CB,2019,4,132,Long_Term_Success,6,61,0,0,0,0,0,0,0,158,2.0,1
4883090,Kiran Amegadjie,OT,2024,3,75,Failed,1,1,0,0,0,0,0,0,0,0,0.0,0
4035660,Bradlee Anae,DE,2020,5,179,Failed,2,5,0,0,0,0,0,0,0,2,0.0,0
4035478,Tremayne Anchrum,G,2020,7,250,Failed,1,2,0,0,0,0,0,0,0,1,0.0,0
4247807,Troy Andersen,LB,2022,2,58,Short_Term_Success,3,24,0,0,0,0,0,0,0,62,0.5,1
4241844,Jack Anderson,G,2021,7,236,Failed,1,2,0,0,0,0,0,0,0,0,0.0,0
3705353,Rodney Anderson,RB,2019,6,211,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
4257240,Tycen Anderson,SAF,2022,5,166,Failed,2,13,0,0,0,0,0,0,0,15,0.0,0
4685724,Will Anderson Jr.,DE,2023,1,3,Short_Term_Success,2,32,0,0,0,0,0,0,0,52,22.5,0
3116365,Mark Andrews,TE,2018,3,86,Long_Term_Success,7,112,0,0,21,0,5845,51,465,11,0.0,0
4035453,Andre Anthony,LB,2022,7,248,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
4874448,Daijahn Anthony,SAF,2024,7,224,Failed,1,4,0,0,0,0,0,0,0,2,0.0,0
4612387,Felix Anudike-Uzomah,DE,2023,1,31,Short_Term_Success,2,28,0,0,0,0,0,0,0,25,4.0,0
3116152,Troy Apke,DB,2018,4,109,Long_Term_Success,5,31,0,0,0,0,0,0,0,47,0.0,1
4361496,Matt Araiza,P,2022,6,180,Made_Roster,1,20,0,0,-18,0,0,0,0,2,0.0,0
3931397,J.J. Arcega-Whiteside,WR,2019,2,57,Made_Roster,3,21,0,0,0,0,290,1,16,6,0.0,0
4046707,A.J. Arcuri,OT,2022,7,261,Failed,1,1,0,0,0,0,0,0,0,0,0.0,0
3923397,Ryquell Armstead,RB,2019,5,140,Made_Roster,2,16,0,0,188,0,160,2,17,3,0.0,0
3123963,Cornell Armstrong,DB,2018,6,209,Made_Roster,3,17,0,0,0,0,0,0,0,29,0.0,0
3928979,Dorance Armstrong,DE,2018,4,116,Long_Term_Success,7,106,0,0,0,0,0,0,0,116,32.0,0
4592837,Terrion Arnold,CB,2024,1,24,Made_Roster,1,17,0,0,0,0,0,0,0,48,0.0,0
545774,Ade Aruna,DE,2018,6,218,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
3915238,George Asafo-Adjei,OT,2019,7,232,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
4046522,Devin Asiasi,TE,2020,3,91,Failed,2,9,0,0,0,0,44,1,4,0,0.0,0
547253,Marcell Ateman,WR,2018,7,228,Failed,2,11,0,0,0,0,270,1,20,0,0.0,0
4360797,Tutu Atwell,WR,2021,2,57,Long_Term_Success,4,49,0,0,72,1,1399,5,101,3,0.0,0
4426599,Alex Austin,DB,2023,7,252,Failed,2,9,0,0,0,0,0,0,0,14,0.0,1
3930021,Blessuan Austin,DB,2019,6,196,Made_Roster,3,22,0,0,0,0,0,0,0,73,0.0,0
4243389,Calvin Austin III,WR,2022,4,138,Short_Term_Success,2,35,0,0,57,1,760,6,55,1,0.0,0
551289,Anthony Averett,CB,2018,4,118,Long_Term_Success,5,36,0,0,0,0,0,0,0,98,0.0,3
3126204,Genard Avery,DE,2018,5,150,Long_Term_Success,5,49,0,0,0,0,0,0,0,53,8.5,0
4362748,Tyler Badie,RB,2022,6,196,Failed,2,5,0,0,94,0,22,1,4,0,0.0,0
3931395,Jake Bailey,P,2019,5,163,Long_Term_Success,6,94,0,0,0,0,0,0,0,5,0.0,0
3917992,Markus Bailey,LB,2020,7,215,Long_Term_Success,4,37,0,0,0,0,0,0,0,44,0.5,0
3915163,Deandre Baker,CB,2019,1,30,Short_Term_Success,3,24,0,0,0,0,0,0,0,60,1.0,0
4692022,Javon Baker,WR,2024,4,110,Failed,1,6,0,0,0,0,12,0,1,0,0.0,0
3915507,Jerome Baker,OLB,2018,3,73,Long_Term_Success,7,105,0,0,0,0,0,0,0,367,25.5,5
4068152,Kawaan Baker,WR,2021,7,255,Failed,1,1,0,0,0,0,0,0,0,1,0.0,0
3128774,Kalen Ballage,RB,2018,4,131,Long_Term_Success,4,44,0,0,678,7,293,0,54,5,0.0,0
4428328,Deonte Banks,CB,2023,1,24,Short_Term_Success,2,29,0,0,0,0,0,0,0,85,0.0,2
3124970,Ben Banogu,DE,2019,2,49,Long_Term_Success,4,22,0,0,0,0,0,0,0,11,2.5,0
4393519,Bryce Baringer,P,2023,6,192,Short_Term_Success,2,34,0,0,0,0,0,0,0,1,0.0,0
3929630,Saquon Barkley,RB,2018,1,2,Long_Term_Success,7,96,0,0,7829,55,2530,14,341,3,0.0,0
4576297,AJ Barner,TE,2024,4,121,Failed,1,15,0,0,0,0,245,4,30,3,0.0,0
4373017,Kalon Barnes,CB,2022,7,242,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
4362234,Zaire Barnes,LB,2023,6,184,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
4568439,Amare Barno,LB,2022,6,189,Made_Roster,3,18,0,0,0,0,0,0,0,21,3.0,0
4372062,Michael Barrett,LB,2024,7,240,Never_Played,0,0,0,0,0,0,0,0,0,0,0.0,0
3926229,Cody Barton,LB,2019,3,88,Long_Term_Success,6,87,0,0,0,0,0,0,0,227,4.5,5
4429251,Graham Barton,C,2024,1,26,Failed,1,7,0,0,0,0,0,0,0,0,0.0,0
3122865,Jackson Barton,OT,2019,7,240,Failed,1,1,0,0,0,0,0,0,0,1,0.0,0
3917232,Tyler Bass,K,2020,6,188,Long_Term_Success,5,95,0,0,0,0,0,0,0,7,0.0,0
4360939,Rashod Bateman,WR,2021,1,27,Long_Term_Success,4,53,0,0,18,0,2054,15,148,3,0.0,0
3919512,Jessie Bates,FS,2018,2,54,Long_Term_Success,7,120,0,0,0,0,0,0,0,471,1.0,26
4048228,John Bates,TE,2021,4,124,Long_Term_Success,4,52,0,0,0,0,623,2,64,4,0.0,0
4567098,Jordan Battle,SAF,2023,3,95,Short_Term_Success,2,28,0,0,0,0,0,0,0,66,2.0,2
3917657,Zack Baun,LB,2020,3,74,Long_Term_Success,5,61,0,0,0,0,0,0,0,155,5.5,4
3125232,Nick Bawden,RB,2018,7,237,Failed,3,14,0,0,4,1,58,0,8,1,0.0,0
