player_id,Player Name,ESPN link
1947,Darrell Adams,
1948,Titus Adams,https://www.espn.com/college-football/player/_/id/113702/titus-adams
1949,Jahmile Addae,https://www.espn.com/college-football/player/_/id/116317/jahmile-addae
1950,Joseph Addai,https://www.espn.com/college-football/player/_/id/116954/joseph-addai
1951,Victor Adeyanju,https://www.espn.com/college-football/player/_/id/118207/victor-adeyanju
1952,Jason Allen,
1953,Jon Alston,https://www.espn.com/college-football/player/_/id/122342/jon-alston
1954,Sir Henry Anderson,https://www.espn.com/college-football/player/_/id/122284/henry-anderson
1955,David Anderson,https://www.espn.com/college-football/player/_/id/135016/david-anderson
1956,James Anderson,https://www.espn.com/college-football/player/_/id/116172/james-anderson
1957,Mark Anderson,https://www.espn.com/college-football/player/_/id/123220/mark-anderson
1958,Willie Andrews,https://www.espn.com/college-football/player/_/id/134739/willie-andrews
1959,Devin Aromashodu,https://www.espn.com/college-football/player/_/id/134967/devin-aromashodu
1960,Miles Austin,
1961,Jason Avant,
1962,Brett Basanez,https://www.espn.com/college-football/player/_/id/116993/brett-basanez
1963,Hank Baskett,
1964,Danny Baugher,
1965,Mike Bell,
1966,Charles Bennett,https://www.espn.com/college-football/player/_/id/117038/charles-bennett
1967,Matt Bernstein,https://www.espn.com/college-football/player/_/id/113759/matt-bernstein
1968,Antoine Bethea,
1969,Troy Bienemann,https://www.espn.com/college-football/player/_/id/115674/troy-bienemann
1970,Damarius Bilbo,https://www.espn.com/college-football/player/_/id/113995/damarius-bilbo
1971,Darnell Bing,https://www.espn.com/college-football/player/_/id/137028/darnell-bing
1972,Will Blackmon,https://www.espn.com/college-football/player/_/id/135766/will-blackmon
1973,Jeremy Bloom,
1974,Greg Blue,
1975,Kevin Boothe,
1976,Jovon Bouknight,https://www.espn.com/college-football/player/_/id/116535/jovon-bouknight
1977,McKinley Boykin,
1978,Trent Bray,https://www.espn.com/college-football/player/_/id/122267/trent-bray
1979,Darrell Brooks,
1980,Manaia Brown,https://www.espn.com/college-football/player/_/id/113701/manaia-brown
1981,Copeland Bryan,
1982,Daniel Bullocks,https://www.espn.com/college-football/player/_/id/113705/daniel-bullocks
1983,Brodrick Bunkley,https://www.espn.com/college-football/player/_/id/136618/brodrick-bunkley
1984,Reggie Bush,https://www.espn.com/college-football/player/_/id/145158/reggie-bush
1985,Brad Butler,https://www.espn.com/college-football/player/_/id/136312/brad-butler
1986,Rashad Butler,
1987,Dominique Byrd,https://www.espn.com/college-football/player/_/id/137031/dominique-byrd
1988,Brian Calhoun,https://www.espn.com/college-football/player/_/id/135500/brian-calhoun
1989,Bobby Carpenter,https://www.espn.com/college-football/player/_/id/133625/bobby-carpenter
1990,Jason Carter,https://www.espn.com/college-football/player/_/id/120250/jason-carter
1991,Chris Chester,
1992,Jeromey Clary,https://www.espn.com/college-football/player/_/id/136968/jeromey-clary
1993,Kellen Clemens,https://www.espn.com/college-football/player/_/id/120702/kellen-clemens
1994,Barry Cofield,https://www.espn.com/college-football/player/_/id/133894/barry-cofield
1995,Daryn Colledge,
1996,Marques Colston,
1997,Ryan Cook,
1998,Antonio Cromartie,
1999,Brodie Croyle,https://www.espn.com/college-football/player/_/id/128154/brodie-croyle
2000,Jay Cutler,https://www.espn.com/college-football/player/_/id/115374/jay-cutler
2001,Owen Daniels,https://www.espn.com/college-football/player/_/id/113746/owen-daniels
2002,P.J. Daniels,https://www.espn.com/college-football/player/_/id/114025/pj-daniels
2003,Vernon Davis,https://www.espn.com/college-football/player/_/id/145820/vernon-davis
2004,Charles Davis,https://www.espn.com/college-football/player/_/id/119398/charles-davis
2005,Tim Day,https://www.espn.com/college-football/player/_/id/120729/tim-day
2006,Mike Degory,
2007,Marcus Demps,https://www.espn.com/college-football/player/_/id/115632/marcus-demps
2008,Chris Denney,
2009,Will Derting,https://www.espn.com/college-football/player/_/id/115681/will-derting
2010,Tim Dobbins,https://www.espn.com/college-football/player/_/id/160080/tim-dobbins
2011,Reed Doughty,
2012,Kader Drame,https://www.espn.com/college-football/player/_/id/134476/kader-drame
