team_name,team_id,espn_url
Boston College Eagles,103,/college-football/team/_/id/103/boston-college-eagles
California Golden Bears,25,/college-football/team/_/id/25/california-golden-bears
Clemson Tigers,228,/college-football/team/_/id/228/clemson-tigers
Duke Blue Devils,150,/college-football/team/_/id/150/duke-blue-devils
Florida State Seminoles,52,/college-football/team/_/id/52/florida-state-seminoles
Georgia Tech Yellow Jackets,59,/college-football/team/_/id/59/georgia-tech-yellow-jackets
Louisville Cardinals,97,/college-football/team/_/id/97/louisville-cardinals
Miami Hurricanes,2390,/college-football/team/_/id/2390/miami-hurricanes
NC State Wolfpack,152,/college-football/team/_/id/152/nc-state-wolfpack
North Carolina Tar Heels,153,/college-football/team/_/id/153/north-carolina-tar-heels
Pittsburgh Panthers,221,/college-football/team/_/id/221/pittsburgh-panthers
SMU Mustangs,2567,/college-football/team/_/id/2567/smu-mustangs
Stanford Cardinal,24,/college-football/team/_/id/24/stanford-cardinal
Syracuse Orange,183,/college-football/team/_/id/183/syracuse-orange
Virginia Cavaliers,258,/college-football/team/_/id/258/virginia-cavaliers
Virginia Tech Hokies,259,/college-football/team/_/id/259/virginia-tech-hokies
Wake Forest Demon Deacons,154,/college-football/team/_/id/154/wake-forest-demon-deacons
Army Black Knights,349,/college-football/team/_/id/349/army-black-knights
Charlotte 49ers,2429,/college-football/team/_/id/2429/charlotte-49ers
East Carolina Pirates,151,/college-football/team/_/id/151/east-carolina-pirates
Florida Atlantic Owls,2226,/college-football/team/_/id/2226/florida-atlantic-owls
Memphis Tigers,235,/college-football/team/_/id/235/memphis-tigers
Navy Midshipmen,2426,/college-football/team/_/id/2426/navy-midshipmen
North Texas Mean Green,249,/college-football/team/_/id/249/north-texas-mean-green
Rice Owls,242,/college-football/team/_/id/242/rice-owls
South Florida Bulls,58,/college-football/team/_/id/58/south-florida-bulls
Temple Owls,218,/college-football/team/_/id/218/temple-owls
Tulane Green Wave,2655,/college-football/team/_/id/2655/tulane-green-wave
Tulsa Golden Hurricane,202,/college-football/team/_/id/202/tulsa-golden-hurricane
UAB Blazers,5,/college-football/team/_/id/5/uab-blazers
UTSA Roadrunners,2636,/college-football/team/_/id/2636/utsa-roadrunners
Arizona State Sun Devils,9,/college-football/team/_/id/9/arizona-state-sun-devils
Arizona Wildcats,12,/college-football/team/_/id/12/arizona-wildcats
BYU Cougars,252,/college-football/team/_/id/252/byu-cougars
Baylor Bears,239,/college-football/team/_/id/239/baylor-bears
Cincinnati Bearcats,2132,/college-football/team/_/id/2132/cincinnati-bearcats
Colorado Buffaloes,38,/college-football/team/_/id/38/colorado-buffaloes
Houston Cougars,248,/college-football/team/_/id/248/houston-cougars
Iowa State Cyclones,66,/college-football/team/_/id/66/iowa-state-cyclones
Kansas Jayhawks,2305,/college-football/team/_/id/2305/kansas-jayhawks
Kansas State Wildcats,2306,/college-football/team/_/id/2306/kansas-state-wildcats
Oklahoma State Cowboys,197,/college-football/team/_/id/197/oklahoma-state-cowboys
TCU Horned Frogs,2628,/college-football/team/_/id/2628/tcu-horned-frogs
Texas Tech Red Raiders,2641,/college-football/team/_/id/2641/texas-tech-red-raiders
UCF Knights,2116,/college-football/team/_/id/2116/ucf-knights
Utah Utes,254,/college-football/team/_/id/254/utah-utes
West Virginia Mountaineers,277,/college-football/team/_/id/277/west-virginia-mountaineers
Illinois Fighting Illini,356,/college-football/team/_/id/356/illinois-fighting-illini
Indiana Hoosiers,84,/college-football/team/_/id/84/indiana-hoosiers
Iowa Hawkeyes,2294,/college-football/team/_/id/2294/iowa-hawkeyes
Maryland Terrapins,120,/college-football/team/_/id/120/maryland-terrapins
Michigan State Spartans,127,/college-football/team/_/id/127/michigan-state-spartans
Michigan Wolverines,130,/college-football/team/_/id/130/michigan-wolverines
Minnesota Golden Gophers,135,/college-football/team/_/id/135/minnesota-golden-gophers
Nebraska Cornhuskers,158,/college-football/team/_/id/158/nebraska-cornhuskers
Northwestern Wildcats,77,/college-football/team/_/id/77/northwestern-wildcats
Ohio State Buckeyes,194,/college-football/team/_/id/194/ohio-state-buckeyes
Oregon Ducks,2483,/college-football/team/_/id/2483/oregon-ducks
Penn State Nittany Lions,213,/college-football/team/_/id/213/penn-state-nittany-lions
Purdue Boilermakers,2509,/college-football/team/_/id/2509/purdue-boilermakers
Rutgers Scarlet Knights,164,/college-football/team/_/id/164/rutgers-scarlet-knights
UCLA Bruins,26,/college-football/team/_/id/26/ucla-bruins
USC Trojans,30,/college-football/team/_/id/30/usc-trojans
Washington Huskies,264,/college-football/team/_/id/264/washington-huskies
Wisconsin Badgers,275,/college-football/team/_/id/275/wisconsin-badgers
Delaware Blue Hens,48,/college-football/team/_/id/48/delaware-blue-hens
Florida International Panthers,2229,/college-football/team/_/id/2229/florida-international-panthers
Jacksonville State Gamecocks,55,/college-football/team/_/id/55/jacksonville-state-gamecocks
Kennesaw State Owls,338,/college-football/team/_/id/338/kennesaw-state-owls
Liberty Flames,2335,/college-football/team/_/id/2335/liberty-flames
Louisiana Tech Bulldogs,2348,/college-football/team/_/id/2348/louisiana-tech-bulldogs
Middle Tennessee Blue Raiders,2393,/college-football/team/_/id/2393/middle-tennessee-blue-raiders
Missouri State Bears,2623,/college-football/team/_/id/2623/missouri-state-bears
New Mexico State Aggies,166,/college-football/team/_/id/166/new-mexico-state-aggies
Sam Houston Bearkats,2534,/college-football/team/_/id/2534/sam-houston-bearkats
